City,Population,Murders and manslaughters,"Murders per 10,000 people",Forcible rapes,"Rapes per 10,000",Robberies,"Robberies per 10,000",Aggravated assaults,"Assaults per 10,000",Burglaries,"Burglaries per 10,000",Larceny-thefts,"Larceny-thefts per 10,000",Motor vehicle thefts,"Motor vehicle thefts per 10,000",Arsons,"Arsons per 10,000",Unemployment Aug 2010 (%),Unemployment Aug 2009 (%),Percent change
Saugus,27327.0,0,0,5,1.8,23,8.4,73,26.7,206,75.4,831,304.1,78,28.5,1,0.4,8,8.7,-0.7
Savoy,722,0,0,0,0,0,0,1,13.9,2,27.7,1,13.9,0,0,0,0,8,7.7,0.3
Scituate,17879.0,0,0,2,1.1,1,0.6,16,8.9,46,25.7,140,78.3,10,5.6,2,1.1,6.8,7.1,-0.3
Seekonk,13610.0,0,0,2,1.5,5,3.7,29,21.3,63,46.3,426,313,23,16.9,2,1.5,10.5,11.2,-0.7
Sharon,16984.0,0,0,0,0,0,0,5,2.9,34,20,80,47.1,0,0,1,0.6,6.2,7.2,-1
Shelburne,2034.0,0,0,0,0,0,0,0,0,1,4.9,14,68.8,0,0,0,0,12.3,11.2,1.1
Sherborn,4218.0,0,0,0,0,0,0,0,0,11,26.1,11,26.1,0,0,0,0,5.8,6.5,-0.7
Shirley,7738.0,0,0,1,1.3,0,0,6,7.8,14,18.1,42,54.3,2,2.6,0,0,8.1,8.5,-0.4
Shrewsbury,33706.0,0,0,0,0,1,0.3,6,1.8,106,31.4,314,93.2,19,5.6,0,0,7.4,7.6,-0.2
Somerset,18265.0,0,0,3,1.6,8,4.4,38,20.8,38,20.8,260,142.3,9,4.9,0,0,10.8,10.8,0
Somerville,74012.0,2,0.3,20,2.7,112,15.1,170,23,450,60.8,1614,218.1,249,33.6,7,0.9,6.4,6.7,-0.3
South Hadley,16921.0,0,0,3,1.8,7,4.1,23,13.6,66,39,185,109.3,6,3.5,2,1.2,7.2,7.5,-0.3
Southampton,6036.0,0,0,1,1.7,0,0,0,0,12,19.9,36,59.6,5,8.3,1,1.7,6.8,6.5,0.3
Southborough,9569.0,0,0,0,0,0,0,0,0,14,14.6,36,37.6,5,5.2,0,0,6.3,6.5,-0.2
Southbridge,16886.0,0,0,4,2.4,10,5.9,66,39.1,172,101.9,199,117.8,30,17.8,5,3,11.5,10.4,1.1
Southwick,9507.0,0,0,0,0,0,0,11,11.6,42,44.2,76,79.9,14,14.7,0,0,8.3,8.1,0.2
Springfield,151249.0,14,0.9,117,7.7,567,37.5,1200,79.3,2002,132.4,4432,293,902,59.6,61,4,13.3,12.4,0.9
Stockbridge,2227.0,0,0,2,9,0,0,0,0,49,220,69,309.8,3,13.5,0,0,4.9,4.4,0.5
Stoughton,26924.0,0,0,8,3,22,8.2,58,21.5,197,73.2,276,102.5,27,10,0,0,8,8.2,-0.2
Stow,6378.0,0,0,0,0,0,0,4,6.3,15,23.5,28,43.9,3,4.7,1,1.6,5.3,6.3,-1
Sturbridge,9266.0,0,0,6,6.5,0,0,14,15.1,33,35.6,122,131.7,8,8.6,1,1.1,7.1,7.7,-0.6
Sudbury,17190.0,0,0,2,1.2,0,0,2,1.2,21,12.2,90,52.4,1,0.6,0,0,6,6.6,-0.6
Sunderland,3714.0,0,0,0,0,1,2.7,13,35,21,56.5,19,51.2,3,8.1,0,0,6.4,6.1,0.3
Sutton,9107.0,0,0,1,1.1,0,0,10,11,26,28.5,47,51.6,9,9.9,0,0,7.6,7.7,-0.1
Swampscott,13940.0,0,0,2,1.4,2,1.4,10,7.2,38,27.3,202,144.9,5,3.6,0,0,7.1,7,0.1
Swansea,16274.0,0,0,3,1.8,3,1.8,43,26.4,48,29.5,231,141.9,27,16.6,3,1.8,9.8,10.6,-0.8
Taunton,55745.0,6,1.1,10,1.8,51,9.1,238,42.7,543,97.4,626,112.3,98,17.6,12,2.2,9.3,9.9,-0.6
Templeton,7911.0,1,1.3,3,3.8,1,1.3,9,11.4,44,55.6,49,61.9,7,8.8,1,1.3,11.4,10.5,0.9
Tewksbury,29692.0,0,0,15,5.1,5,1.7,39,13.1,109,36.7,356,119.9,36,12.1,0,0,7.8,8.5,-0.7
Tisbury,3809.0,1,2.6,0,0,1,2.6,5,13.1,22,57.8,84,220.5,15,39.4,0,0,5.6,4.2,1.4
Topsfield,6056.0,0,0,0,0,0,0,1,1.7,9,14.9,55,90.8,3,5,0,0,6.7,7,-0.3
Townsend,9394.0,0,0,1,1.1,0,0,4,4.3,96,102.2,48,51.1,5,5.3,0,0,8,8,0
Truro,2139.0,0,0,1,4.7,0,0,1,4.7,6,28.1,16,74.8,1,4.7,0,0,4.4,5.2,-0.8
Tyngsboro,11955.0,0,0,3,2.5,4,3.3,6,5,49,41,126,105.4,20,16.7,1,0.8,,,
Upton,6629.0,1,1.5,0,0,0,0,4,6,12,18.1,30,45.3,11,16.6,0,0,7.5,8.6,-1.1
Uxbridge,12820.0,0,0,2,1.6,0,0,18,14,58,45.2,76,59.3,8,6.2,3,2.3,8.7,9.5,-0.8
Wales,1857.0,0,0,0,0,0,0,1,5.4,0,0,3,16.2,0,0,0,0,8.2,8.5,-0.3
Walpole,23113.0,0,0,3,1.3,6,2.6,16,6.9,59,25.5,285,123.3,12,5.2,3,1.3,7.5,7.7,-0.2
Waltham,60459.0,0,0,9,1.5,15,2.5,65,10.8,108,17.9,696,115.1,44,7.3,1,0.2,6.6,7,-0.4
Ware,9961.0,0,0,3,3,5,5,35,35.1,29,29.1,146,146.6,11,11,2,2,9.3,10.2,-0.9
Warren,5108.0,0,0,0,0,0,0,25,48.9,30,58.7,19,37.2,10,19.6,0,0,10.4,9.8,0.6
Watertown,32462.0,0,0,3,0.9,6,1.8,43,13.2,101,31.1,433,133.4,29,8.9,1,0.3,6.1,6.7,-0.6
Wellesley,26975.0,0,0,2,0.7,4,1.5,8,3,51,18.9,155,57.5,9,3.3,0,0,5.6,6,-0.4
Wellfleet,2746.0,0,0,0,0,0,0,10,36.4,24,87.4,40,145.7,2,7.3,1,3.6,5.4,6.5,-1.1
Wenham,4608.0,0,0,1,2.2,2,4.3,4,8.7,3,6.5,25,54.3,2,4.3,0,0,7.6,8.6,-1
West Boylston,8302.0,0,0,5,6,3,3.6,7,8.4,32,38.5,138,166.2,7,8.4,0,0,9.3,8.9,0.4
West Bridgewater,6682.0,0,0,0,0,1,1.5,6,9,24,35.9,101,151.2,8,12,2,3,8.1,8.6,-0.5
West Brookfield,3827.0,0,0,0,0,1,2.6,7,18.3,15,39.2,37,96.7,3,7.8,0,0,10.1,9.9,0.2
West Newbury,4283.0,0,0,0,0,0,0,6,14,3,7,22,51.4,0,0,0,0,6.5,6.4,0.1
West Tisbury,2646.0,0,0,0,0,0,0,0,0,2,7.6,11,41.6,2,7.6,0,0,3.6,3.1,0.5
Westborough,18509.0,0,0,2,1.1,4,2.2,7,3.8,80,43.2,180,97.2,18,9.7,2,1.1,7.3,7.4,-0.1
Westfield,40857.0,0,0,21,5.1,9,2.2,76,18.6,251,61.4,371,90.8,26,6.4,5,1.2,8.9,8.8,0.1
Westford,21913.0,0,0,0,0,1,0.5,4,1.8,29,13.2,95,43.4,9,4.1,0,0,6.6,7.9,-1.3
Westhampton,1601.0,0,0,0,0,0,0,1,6.2,1,6.2,3,18.7,1,6.2,0,0,6.2,7.9,-1.7
Westminster,7446.0,0,0,1,1.3,0,0,6,8.1,18,24.2,116,155.8,10,13.4,0,0,8.7,9.9,-1.2
Westport,15253.0,0,0,2,1.3,0,0,53,34.7,74,48.5,81,53.1,28,18.4,1,0.7,11.2,11.3,-0.1
Westwood,13995.0,0,0,2,1.4,2,1.4,8,5.7,32,22.9,114,81.5,10,7.1,5,3.6,5.8,6.2,-0.4
Weymouth,53180.0,0,0,8,1.5,20,3.8,78,14.7,173,32.5,630,118.5,56,10.5,0,0,8.3,8.9,-0.6
Wilbraham,14098.0,0,0,1,0.7,4,2.8,7,5,37,26.2,139,98.6,11,7.8,0,0,7.3,7.1,0.2
Williamsburg,2442.0,0,0,1,4.1,0,0,2,8.2,34,139.2,14,57.3,0,0,0,0,9.8,8.2,1.6
Williamstown,8071.0,0,0,3,3.7,0,0,10,12.4,21,26,121,149.9,4,5,2,2.5,6.5,7,-0.5
Wilmington,21712.0,1,0.5,0,0,1,0.5,44,20.3,94,43.3,289,133.1,12,5.5,4,1.8,6.8,8.1,-1.3
Winchendon,10192.0,0,0,3,2.9,3,2.9,44,43.2,44,43.2,181,177.6,17,16.7,2,2,11.3,11.2,0.1
Winchester,21171.0,0,0,1,0.5,1,0.5,3,1.4,49,23.1,238,112.4,8,3.8,1,0.5,5.6,6.8,-1.2
Winthrop,20404.0,0,0,3,1.5,8,3.9,59,28.9,100,49,160,78.4,19,9.3,2,1,6.7,7.2,-0.5
Woburn,37005.0,0,0,3,0.8,10,2.7,61,16.5,96,25.9,719,194.3,73,19.7,2,0.5,7.6,8.7,-1.1
Worcester,177151.0,6,0.3,42,2.4,373,21.1,1297,73.2,1701,96,3983,224.8,672,37.9,10,0.6,10.8,10.5,0.3
Wrentham,11181.0,0,0,1,0.9,1,0.9,0,0,7,6.3,36,32.2,0,0,0,0,7.9,8.3,-0.4
Yarmouth,23903.0,0,0,7,2.9,17,7.1,142,59.4,240,100.4,675,282.4,34,14.2,7,2.9,7.5,7.3,0.2
